scan_layer,scan_ts,trigger,ticker_raw,ticker_normalized,scan_price,close_price,return_pct,band
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,LDOS,LDOS,142.8,128.13999938964844,-10.266107,-20% to -10%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,DELL,DELL,533.69,535.25,0.292305,0% to <10%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,ALMU,ALMU,13.23,13.300000190734863,0.529102,0% to <10%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,INBX,INBX,122.0,112.86000061035156,-7.491803,-10% to 0%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,CRML,CRML,7.3,7.070000171661377,-3.150683,-10% to 0%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,PLAY,PLAY,9.94,8.1899995803833,-17.605638,-20% to -10%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,LOVE,LOVE,14.7,16.030000686645508,9.047624,0% to <10%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,SHOE,SHOE,13.46,12.930000305175781,-3.937591,-10% to 0%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,PATH,PATH,14.01,13.569999694824219,-3.140616,-10% to 0%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,ASAN,ASAN,8.68,8.25,-4.953917,-10% to 0%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,RR,RR,1.73,1.6699999570846558,-3.468211,-10% to 0%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,FCEL,FCEL,17.71,16.56999969482422,-6.437043,-10% to 0%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,MMED,MMED,22.0,22.760000228881836,3.454546,0% to <10%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,GIII,GIII,33.72,27.540000915527344,-18.327399,-20% to -10%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,SAIL,SAIL,18.21,17.579999923706055,-3.459638,-10% to 0%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,OXM,OXM,31.75,30.649999618530273,-3.464568,-10% to 0%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,CPB,CPB,21.44,21.8799991607666,2.052235,0% to <10%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,AI,AI,10.37,10.380000114440918,0.096433,0% to <10%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,CHPT,CHPT,9.96,8.949999809265137,-10.140564,-20% to -10%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,BAH,BAH,72.5,72.19999694824219,-0.413797,-10% to 0%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,UPXI,UPXI,1.07,1.034999966621399,-3.271031,-10% to 0%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,FLWS,FLWS,4.79,3.490000009536743,-27.139875,Below -20%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,ODD,ODD,12.68,16.479999542236328,29.968451,20% to <30%
CORE,2026-09-09T04:00:33.374529+00:00,scheduler,RH,RH,196.32,139.3699951171875,-29.008764,Below -20%
STRATEGY,2026-09-09T04:00:33.374529+00:00,scheduler,AAEO,AEO,17.22,16.889999389648438,-1.91638,-10% to 0%
STRATEGY,2026-09-09T04:00:33.374529+00:00,scheduler,AARQT,ARQT,24.39,23.84000015258789,-2.255022,-10% to 0%
STRATEGY,2026-09-09T04:00:33.374529+00:00,scheduler,ABM,ABM,50.6,49.7400016784668,-1.699601,-10% to 0%
STRATEGY,2026-09-09T04:00:33.374529+00:00,scheduler,ADBE,ADBE,257.26,254.86000061035156,-0.932908,-10% to 0%
STRATEGY,2026-09-09T04:00:33.374529+00:00,scheduler,AI,AI,10.37,10.380000114440918,0.096433,0% to <10%
