"scan_layer","scan_ts","trigger","ticker_raw","ticker_normalized","scan_price","close_price","return_pct","band","selection_basis","pm_approved","pm_action","pm_score","pm_allocation_usd","pm_approval_scan_ts","overlay_band"
"STRATEGY","2026-09-09T04:00:33.374529+00:00","scheduler","LOVE","LOVE","14.7","16.030000686645508","9.047624","0% to <10%","first_scan_observation","YES","STARTER","66.5","44.2","2026-09-09T04:00:33.374529+00:00","0% to <10%"
"CORE","2026-09-09T04:00:33.374529+00:00","scheduler","ALMU","ALMU","13.23","13.300000190734863","0.529102","0% to <10%","first_scan_observation","YES","STARTER","65.8","44.2","2026-09-09T04:00:33.374529+00:00","0% to <10%"
"STRATEGY","2026-09-09T19:00:34.536029+00:00","scheduler","GOLD","GOLD","49.15","49.33000183105469","0.36623","0% to <10%","first_scan_observation","YES","STARTER","66.8","44.13","2026-09-09T19:00:34.536029+00:00","0% to <10%"
"STRATEGY","2026-09-09T04:00:33.374529+00:00","scheduler","CRML","CRML","7.3","7.070000171661377","-3.150683","-10% to 0%","first_scan_observation","YES","STARTER","65.5","44.2","2026-09-09T04:00:33.374529+00:00","-10% to 0%"
"LOTTERY_RAW","2026-09-09T04:00:33.374529+00:00","scheduler","SHOE","SHOE","13.38","12.930000305175781","-3.363226","-10% to 0%","first_scan_observation","YES","ACCUMULATE","87.7","90.76","2026-09-09T14:00:37.962015+00:00","-10% to 0%"
"LOTTERY_RAW","2026-09-09T04:00:33.374529+00:00","scheduler","CCAPR","CAPR","9.06","8.640000343322754","-4.635758","-10% to 0%","first_scan_observation","YES","STARTER","57.8","14.98","2026-09-09T12:01:05.194142+00:00","-10% to 0%"
"CORE","2026-09-09T04:00:33.374529+00:00","scheduler","INBX","INBX","122.0","112.86000061035156","-7.491803","-10% to 0%","first_scan_observation","YES","ACCUMULATE","73.6","80.37","2026-09-09T04:00:33.374529+00:00","-10% to 0%"
"CORE","2026-09-09T04:00:33.374529+00:00","scheduler","LDOS","LDOS","142.8","128.13999938964844","-10.266107","-20% to -10%","first_scan_observation","YES","ACCUMULATE","81.7","80.24","2026-09-09T13:03:16.719791+00:00","-20% to -10%"
"CORE","2026-09-09T04:00:33.374529+00:00","scheduler","PLAY","PLAY","9.94","8.1899995803833","-17.605638","-20% to -10%","first_scan_observation","YES","STARTER","65.5","44.2","2026-09-09T04:00:33.374529+00:00","-20% to -10%"
"LOTTERY_RAW","2026-09-09T12:01:05.194142+00:00","scheduler","SSCNX","SSCNX","0.33","17.40999984741211","5175.75753","30% and higher","first_scan_observation","NO","","","","","30% and higher"
"LOTTERY_RAW","2026-09-09T04:00:33.374529+00:00","scheduler","MMOBX","MMOBX","1.27","8.319999694824219","555.118086","30% and higher","first_scan_observation","NO","","","","","30% and higher"
"LOTTERY_RAW","2026-09-09T04:00:33.374529+00:00","scheduler","CYCN","CYCN","4.03","23.939998626708984","494.044631","30% and higher","first_scan_observation","NO","","","","","30% and higher"
"LOTTERY_RAW","2026-09-09T04:00:33.374529+00:00","scheduler","CCURX","CCURX","5.04","14.808699607849121","193.823405","30% and higher","first_scan_observation","NO","","","","","30% and higher"
"LOTTERY_RAW","2026-09-09T04:00:33.374529+00:00","scheduler","SSMR","SSMR","11.18","17.8799991607666","59.928436","30% and higher","first_scan_observation","NO","","","","","30% and higher"
"LOTTERY_RAW","2026-09-09T12:01:05.194142+00:00","scheduler","SUNE","SUNE","3.048","4.510000228881836","47.965887","30% and higher","first_scan_observation","NO","","","","","30% and higher"
"LOTTERY_RAW","2026-09-09T12:01:05.194142+00:00","scheduler","SSDA","SDA","0.43","0.6000000238418579","39.534889","30% and higher","first_scan_observation","NO","","","","","30% and higher"
"LOTTERY_RAW","2026-09-09T04:00:33.374529+00:00","scheduler","GRNQ","GRNQ","9.84","13.229999542236328","34.451215","30% and higher","first_scan_observation","NO","","","","","30% and higher"
"CORE","2026-09-09T04:00:33.374529+00:00","scheduler","ODD","ODD","12.68","16.479999542236328","29.968451","20% to <30%","first_scan_observation","NO","","","","","20% to <30%"
"STRATEGY","2026-09-09T04:00:33.374529+00:00","scheduler","SSIG","SIG","82.67","102.4800033569336","23.962747","20% to <30%","first_scan_observation","NO","","","","","20% to <30%"
"LOTTERY_RAW","2026-09-09T12:01:05.194142+00:00","scheduler","YYQ","YQ","3.75","4.570000171661377","21.866671","20% to <30%","first_scan_observation","NO","","","","","20% to <30%"
"LOTTERY_RAW","2026-09-09T12:01:05.194142+00:00","scheduler","GLMD","GLMD","3.87","4.630000114440918","19.638246","10% to <20%","first_scan_observation","NO","","","","","10% to <20%"
"LOTTERY_RAW","2026-09-09T12:01:05.194142+00:00","scheduler","IIRD","IRD","4.81","5.730000019073486","19.12682","10% to <20%","first_scan_observation","NO","","","","","10% to <20%"
"LOTTERY_RAW","2026-09-09T04:00:33.374529+00:00","scheduler","ETS","ETS","1.09","1.2899999618530273","18.34862","10% to <20%","first_scan_observation","NO","","","","","10% to <20%"
"LOTTERY_RAW","2026-09-09T12:01:05.194142+00:00","scheduler","LABT","LABT","2.01","2.319999933242798","15.422882","10% to <20%","first_scan_observation","NO","","","","","10% to <20%"
